Country;Continent;GNIPPP;Health_expenditure_per_person;Income_per_person;Population median age (years);Population proportion under 15 (%);Improved_sanitation_facilities_urban;Sugar_per_person;Children_and_elderly;Personal_computers_per_100_people;Fixed_line_and_mobile_phone_subscribers;Internet_users;Electric_power_consumption;Cell_phones_per_100_people;Broadband_subscribers_per_100_people;Colon_and_Rectum_cancer_new_cases_per_100_000_women;Colon_and_Rectum_cancer_new_cases_per_100_000_men;Breast_cancer_new_cases_per_100_000_women;Prostate_cancer_new_cases_per_100_000_men;Medical_Doctors;Infant_mortality_rate;Adolescent_fertility_rate;Under_five_mortality_rate;Life_expectancy_at_birth;CO2_emissions;Agriculture_contribution_to_economy;Energy_use;Improved_water_source;Roads_paved
Afghanistan;WestAsia;9800.0;20.0;874.0;16.0;47.0;49.0;93.15;96.8;5.1;5.19;1.0;3299.47;4.0;0.000878;4.5;5.2;26.8;4.5;0.19;165.0;21.17;257.0;43.4;0.02;36.1;2352.16;39.0;23.66
Albania;Europe;6000.0;169.0;5369.0;29.0;26.0;99.0;65.75;53.07;1.2;59.73;6.0;1167.19;48.9;0.01;19.3;28.1;57.4;15.1;1.31;16.0;15.59;18.47;76.23;0.98;22.8;761.64;96.0;39.0
Algeria;Africa;5940.0;108.0;6011.0;24.0;29.0;99.0;84.93;51.96;0.9;49.41;5.8;898.64;41.5;0.59;5.0;5.5;23.5;5.6;1.13;34.0;7.82;40.0;71.97;4.23;8.46;1058.25;85.0;70.2
Andorra;Europe;15905.0;638.72;16267.5;38.0;14.0;98.5;95.89;48.28;23.65;127.21;31.05;4791.165000000001;85.1;5.33;21.450000000000006;31.8;53.8;30.7;3.1;6.0;16.025;7.75;75.88;6.855;4.4849999999999985;3252.7200000000007;100.0;86.125
Angola;Africa;3890.0;36.0;3533.0;17.0;46.0;56.0;35.62;95.47;0.2;10.61;0.6;140.97;10.3;0.005333;3.0;4.3;23.1;12.7;0.08;154.0;139.64;164.1;42.3;0.76;7.65;614.97;53.0;10.4
Antigua and Barbuda;AmericaN;15130.0;503.0;14579.0;36.0;28.0;73.5;95.89;46.925;26.15;147.5;35.6;13647.58;105.5;6.89;18.5;24.1;62.5;78.2;0.17;11.0;42.93;12.6;77.425;6.13;3.62;7892.85;68.25;32.96
Argentina;AmericaS;11670.0;484.0;11063.0;29.0;26.0;92.0;112.33;57.77;8.0;81.55;17.8;2417.88;57.4;2.39;19.1;30.1;73.9;36.8;3.01;14.0;58.42;18.1;75.08;3.86;9.4;1644.46;96.0;30.0
Armenia;Europe;4950.0;88.0;3903.0;32.0;20.0;96.0;57.53;49.07;5.3;30.24;5.3;1503.15;10.5;0.07;7.9;8.5;51.6;10.2;3.59;23.0;30.07;28.8;71.82;1.46;20.8;847.68;92.0;89.97
Australia;SouthAsia-Oceania;33940.0;3181.0;32798.0;37.0;19.0;100.0;128.77;48.43;68.9;139.9;70.4;11480.53;91.4;8.76;35.9;47.4;83.2;76.0;2.5;5.0;15.38;5.9;81.19;18.36;3.08;5978.28;100.0;38.7
Austria;Europe;36040.0;3788.0;34108.0;40.0;16.0;100.0;123.29;46.97;57.6;150.47;48.9;7888.7;105.8;14.26;27.8;42.1;70.5;71.4;3.4;4.0;12.36;5.1;79.66;8.99;1.64;4173.66;100.0;100.0
Azerbaijan;Europe;5430.0;62.0;4648.0;28.0;24.0;73.0;43.84;47.96;1.8;39.76;8.1;2407.45;26.7;0.03;4.3;5.7;31.5;7.5;3.55;74.0;28.94;50.0;67.33;4.63;9.9;1648.62;77.0;49.39
Bahamas;AmericaN;15150.0;1224.0;23021.0;28.0;27.0;100.0;126.03;46.925;26.15;111.61;31.9;13647.58;70.5;4.14;14.7;15.2;54.4;65.3;1.635;11.0;54.08;15.8;77.425;6.98;3.62;7892.85;97.0;57.4
Bahrain;WestAsia;34310.0;710.0;27236.0;29.0;26.0;100.0;93.15;41.51;16.9;130.0;21.3;11400.58;103.0;2.96;7.3;12.3;40.2;15.9;1.09;9.0;17.52;10.96;75.43;28.57;0.86;11214.31;93.0;79.13
Bangladesh;EastAsia;1230.0;12.0;1268.0;22.0;35.0;51.0;16.44;63.17;1.2;6.57;0.3;135.56;6.3;0.125;0.9;1.0;16.6;0.3;0.26;54.0;134.37;72.0;63.55;0.28;20.14;157.8;74.0;9.5
Barbados;AmericaN;15150.0;725.0;15837.0;36.0;18.0;99.0;156.16;39.02;12.5;116.83;59.5;13647.58;76.7;10.94;18.5;24.1;62.5;99.7;1.21;11.0;42.24;12.2;76.96;4.72;3.68;7892.85;100.0;100.0
Belarus;Europe;9700.0;204.0;8541.0;38.0;15.0;93.0;90.41;42.97;23.65;75.53;34.8;3208.5;42.0;0.02;18.0;25.8;36.0;19.0;4.55;12.0;22.62;15.1;68.87;6.15;9.77;2720.04;100.0;88.64
Belgium;Europe;33860.0;3451.0;32077.0;41.0;17.0;98.5;150.69;52.26;34.7;135.77;45.7;8509.97;90.0;19.19;26.8;37.0;92.0;74.2;3.9;4.0;7.67;5.0;79.2;9.9;1.1;5406.52;100.0;78.0
Belize;AmericaS;7080.0;198.0;7290.0;21.0;37.0;71.0;136.99;71.76;13.5;52.74;9.6;1076.06;44.3;1.72;5.8;4.9;29.8;77.3;1.05;15.0;83.7;26.7;75.99;2.91;15.28;801.6800000000002;91.0;17.0
Benin;Africa;1250.0;28.0;1390.0;18.0;44.0;59.0;16.44;88.32;0.4;9.73;5.7;69.37;10.0;0.0;3.5;5.1;28.1;19.3;0.04;89.0;126.52;132.0;56.15;0.34;32.2;304.35;67.0;9.5
Bermuda;AmericaN;15150.0;974.5;69916.79;36.0;24.0;99.5;104.11;46.925;26.15;165.47;65.5;13647.58;82.2;29.08;18.5;24.1;62.5;78.2;1.77;11.0;42.93;12.4;77.425;8.74;3.62;7892.85;98.5;48.635
Bhutan;EastAsia;4000.0;52.0;3694.0;23.0;32.0;65.0;45.205;60.32;1.4;11.08;3.1;416.995;4.7;0.125;3.4;4.7;21.8;4.4;0.05;65.0;42.42;92.8;65.08;0.19;23.62;483.33;62.0;62.0
Bolivia;AmericaS;3810.0;71.0;3618.0;21.0;38.0;60.0;76.71;74.3;2.3;33.41;5.2;478.76;26.4;0.12;8.5;15.9;24.7;36.4;1.22;52.0;80.68;68.8;65.14;1.04;14.24;577.98;85.0;7.0
Bosnia and Herzegovina;Europe;6780.0;243.0;6506.0;38.0;17.0;99.0;73.97;45.54;23.65;65.47;20.6;2316.08;40.8;0.35;21.8;33.9;58.9;19.0;1.34;13.0;21.48;15.4;74.66;5.93;10.55;1267.61;97.0;52.3
Botswana;Africa;11730.0;362.0;12057.0;21.0;35.0;57.0;68.49;63.8;4.7;52.02;3.4;1405.82;46.6;0.09;4.3;6.2;33.4;30.6;0.4;87.0;55.78;47.3;49.7;2.78;1.97;1032.17;95.0;33.2
Brazil;AmericaS;8700.0;371.0;8596.0;27.0;28.0;83.0;153.43;51.43;10.7;67.47;17.2;2008.2;46.3;2.35;14.3;14.4;46.0;53.2;2.06;20.0;89.42;25.6;72.04;1.75;5.65;1121.52;90.0;5.5
Brunei Darussalam;SouthAsia-Oceania;49900.0;519.0;47465.0;26.0;29.0;76.5;106.85;48.69;8.5;84.74;36.1;7498.04;62.3;2.17;13.2;15.7;20.6;6.4;1.01;8.0;28.65;8.8;76.92;15.82;0.95;7064.69;99.0;77.23
Bulgaria;Europe;10270.0;272.0;9353.0;41.0;14.0;100.0;79.45;44.86;5.9;112.85;20.6;4121.19;80.8;2.14;17.0;25.6;46.2;14.8;3.56;12.0;41.63;14.3;72.52;5.96;9.43;2591.73;99.0;99.0
Burkina Faso;Africa;1130.0;27.0;1140.0;17.0;46.0;42.0;16.44;97.05;0.2;5.2;0.5;170.3;4.8;0.0;1.0;4.0;30.6;13.8;0.06;121.0;132.91;190.36;51.88;0.06;31.95;498.59;61.0;4.17
Burundi;Africa;320.0;3.0;420.08;17.0;45.0;47.0;5.48;91.35;0.5;2.34;0.5;170.3;2.0;0.005333;4.1;6.7;19.5;13.8;0.03;109.0;54.94;181.3;49.03;0.03;34.85;498.59;79.0;10.44
Cambodia;EastAsia;1550.0;28.57;1453.0;20.0;37.0;53.0;24.66;68.64;0.3;7.85;0.3;416.995;7.5;0.01;5.4;11.3;21.5;7.5;0.16;67.0;44.95;97.3;58.98;0.04;30.78;483.33;41.0;6.29
Cameroon;Africa;2060.0;49.0;1995.0;19.0;41.0;58.0;27.4;82.82;1.0;13.22;1.5;196.12;13.8;0.0;4.0;4.3;29.7;25.3;0.19;87.0;125.31;149.4;50.29;0.22;20.17;392.13;66.0;10.0
Canada;AmericaN;36280.0;3430.0;35078.0;39.0;17.0;100.0;172.6;44.43;69.8;116.98;67.9;17284.69;52.5;19.9;30.6;42.2;84.3;78.2;2.1;5.0;14.04;6.1;80.36;16.39;2.1;8416.53;100.0;39.87
Cape Verde;WestAsia;2590.0;114.0;2831.0;20.0;39.0;61.0;87.67;78.03;10.2;30.22;6.1;3299.47;17.2;0.18;3.5;5.1;28.1;19.3;0.49;26.0;87.48;36.4;71.31;0.68;9.24;2352.16;80.0;69.04
Central African Republic;Africa;690.0;13.0;675.0;18.0;42.0;47.0;21.92;86.37;0.3;2.62;0.3;170.3;2.5;0.005333;3.3;2.3;16.5;24.5;0.115;83.5;122.13;177.8;51.8;0.06;55.63;498.59;75.0;2.7
Chad;Africa;1170.0;22.0;1749.0;17.0;46.0;24.0;19.18;96.8;0.2;2.2;0.4;170.3;2.1;0.005333;3.3;2.3;16.5;24.5;0.04;124.0;174.48;208.2;50.62;0.01;21.35;498.59;42.0;0.8
Chile;AmericaS;11300.0;396.78;12262.0;31.0;24.0;95.0;126.03;49.18;13.9;85.95;28.9;3074.3;67.8;4.35;15.1;15.8;43.9;40.6;1.09;8.0;60.4;9.74;78.38;4.14;4.36;1814.53;95.0;20.2
China;EastAsia;4660.0;81.0;4091.0;33.0;21.0;69.0;21.92;41.37;4.1;57.02;8.4;1780.54;29.9;2.87;9.3;13.6;18.7;1.7;1.51;21.0;5.77;27.3;72.73;4.26;12.55;1316.33;77.0;81.62
Colombia;AmericaS;6130.0;201.0;6306.0;26.0;30.0;96.0;134.25;54.9;5.5;65.7;10.4;890.07;47.9;0.71;14.6;11.7;30.3;48.3;1.35;17.0;69.08;22.6;72.59;1.36;12.37;636.01;93.0;14.4
Comoros;Africa;1140.0;14.0;1063.0;19.0;42.0;41.0;21.92;80.65;0.6;5.5;2.5;170.3;2.0;0.000666;4.1;6.7;19.5;13.8;0.15;53.0;52.93;73.6;64.61;0.13;51.02;498.59;86.0;76.5
Congo, Dem. Rep.;Africa;270.0;5.0;264.0;16.0;47.0;42.0;5.48;99.14;0.7;4.69;0.2;91.08;4.8;0.0;3.1;1.0;10.3;29.0;0.11;129.0;225.5;168.0;46.09;0.04;45.52;288.85;46.0;1.82
Congo, Rep.;Africa;2420.0;31.0;3621.0;19.0;42.0;28.0;30.14;82.22;0.4;14.01;1.3;159.56;12.3;0.005333;2.6;4.2;20.6;6.4;0.2;79.0;120.41;121.3;54.73;0.215;4.67;332.15;58.0;5.0
Cook Islands;SouthAsia-Oceania;5470.0;100.97;9000.0;25.0;34.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Costa Rica;AmericaS;9220.0;327.0;8661.0;26.0;28.0;89.0;156.16;51.92;21.9;57.53;21.3;1718.88;25.4;1.08;12.2;11.6;30.9;34.9;1.32;11.0;73.78;12.56;78.62;1.82;8.66;882.78;97.0;24.4
Cote d'Ivoire;Africa;1580.0;34.0;1575.0;19.0;41.0;46.0;32.88;81.47;1.6;14.03;1.1;170.3;12.9;0.01;2.5;3.7;26.0;19.7;0.12;91.0;117.38;130.5;47.95;0.5;22.84;422.01;84.0;8.12
Croatia;Europe;13850.0;651.44;13232.0;41.0;15.0;100.0;164.38;48.67;19.1;124.51;32.4;3474.86;80.2;2.61;25.9;44.7;62.1;24.6;2.4;6.0;13.69;7.1;75.53;5.09;7.6;1999.84;100.0;84.4
Cuba;AmericaS;7065.0;310.0;7407.24;36.0;19.0;99.0;117.81;43.75;2.6;8.81;1.7;1151.87;1.2;1.0750000000000002;17.0;13.4;31.2;28.2;5.91;5.0;48.32;7.0;77.99;2.14;6.4;905.51;91.0;49.0
Cyprus;Europe;25060.0;1350.0;24473.0;35.0;19.0;100.0;128.77;47.05;30.9;150.29;39.0;5559.51;86.1;4.2;19.6;23.1;67.2;45.2;2.34;4.0;8.03;5.2;79.02;8.99;5.07;3367.64;100.0;63.0
Czech Republic;Europe;20920.0;868.0;20281.0;39.0;14.0;99.0;142.47;48.28;21.6;146.5;27.0;6343.21;115.2;6.93;32.0;58.5;58.4;38.1;3.1;6.0;11.18;4.5;75.88;11.69;2.94;4417.1;100.0;100.0
Denmark;Europe;36190.0;4350.0;33626.0;40.0;19.0;98.5;158.9;51.28;65.5;162.44;52.5;6663.06;100.3;24.91;33.0;41.0;88.7;39.3;2.9;4.0;6.16;5.2;78.32;8.48;1.51;3620.77;100.0;100.0
Djibouti;WestAsia;2180.0;54.0;1964.0;20.0;38.0;66.0;76.71;70.75;2.32;6.82;1.5;3299.47;6.4;0.01;4.1;6.7;19.5;6.9;0.14;88.0;25.35;135.8;54.44;0.78;3.53;2352.16;54.75;45.0
Dominica;AmericaS;7870.0;288.0;8576.0;25.0;28.0;64.5;104.11;59.55;13.65;65.9;21.6;1076.06;51.36;3.98;12.0;11.7;30.9;40.6;0.5;13.0;69.08;13.0;72.38;1.65;18.54;801.6800000000002;72.75;50.4
Dominican Republic;AmericaS;5550.0;196.92;5173.0;24.0;33.0;81.0;109.59;59.55;7.9;47.73;16.8;1000.25;40.7;0.7;12.3;11.6;36.1;85.3;1.14;21.0;110.28;37.3;72.38;2.07;12.43;776.8;95.0;49.4
Ecuador;AmericaS;6810.0;147.0;6533.0;24.0;32.0;94.0;101.37;62.6;5.5;60.68;7.3;714.49;47.2;0.21;10.0;7.6;23.5;35.9;1.48;22.0;83.48;26.4;74.79;2.19;6.62;799.4;94.0;14.97
Egypt;WestAsia;4940.0;78.0;5049.0;23.0;33.0;86.0;76.71;58.385;3.3;32.98;7.2;1245.41;19.1;0.12;2.9;4.3;24.2;4.4;1.3050000000000002;20.5;42.93;41.9;73.405;2.24;14.86;841.47;98.0;81.0
El Salvador;AmericaS;5610.0;177.17;5403.0;24.0;34.0;77.0;93.15;65.55;4.5;50.74;9.3;665.53;35.0;0.63;6.2;4.4;13.6;26.8;1.24;23.0;83.44;28.6;71.59;0.95;10.5;694.17;84.0;19.8
Equatorial Guinea;Africa;16620.0;211.0;11999.0;19.0;42.0;60.0;28.77;86.75;1.4;22.08;1.4;170.3;19.3;0.04;3.3;2.3;16.5;24.5;0.3;123.0;125.19;204.0;51.02;8.19;2.85;498.59;43.0;17.92
Eritrea;Africa;680.0;8.0;685.0;18.0;43.0;32.0;13.7;82.99;0.4;1.73;1.8;170.3;0.9;0.005333;4.1;6.7;19.5;13.8;0.05;50.0;77.66;81.8;57.34;0.16;22.57;498.59;60.0;21.8
Estonia;Europe;18090.0;516.0;16654.0;39.0;15.0;97.0;167.12;46.55;47.4;140.21;51.9;5567.19;108.8;13.31;23.2;31.7;47.7;36.3;3.16;6.0;21.88;7.8;72.96;13.66;3.73;3785.75;100.0;22.67
Ethiopia;Africa;630.0;6.0;591.0;18.0;44.0;44.0;10.96;89.93;0.3;1.36;0.2;34.39;0.5;0.000227;4.2;7.7;24.7;4.3;0.03;80.0;100.25;131.72;52.39;0.11;46.64;287.78;22.0;13.4
Fiji;SouthAsia-Oceania;4450.0;148.0;4209.0;24.0;33.0;87.0;120.55;58.9;5.2;38.34;8.3;4570.025;24.2;0.85;2.8;3.7;31.2;13.7;0.34;16.0;35.62;18.1;68.54;1.84;14.31;2521.0;47.0;49.2
Finland;Europe;33170.0;2824.0;30469.0;41.0;17.0;100.0;93.15;49.9;48.2;140.87;53.3;16119.78;100.4;22.38;21.1;25.5;84.7;84.4;2.6;3.0;9.8;3.8;79.09;10.18;2.92;6664.19;100.0;65.04
France;Europe;32240.0;3807.0;29644.0;39.0;18.0;98.5;109.59;53.14;48.7;134.37;43.2;7938.33;79.5;15.56;25.9;40.8;91.9;59.3;3.37;4.0;7.33;4.8;80.5;6.23;2.29;4533.54;100.0;100.0
French Polynesia;SouthAsia-Oceania;5470.0;100.97;26016.11;25.0;32.0;74.25;65.75;48.28;23.63;67.83;21.5;4570.025;46.8;4.3;10.7;14.9;34.2;10.0;0.64;18.0;37.88;27.23;73.8;2.53;4.71;2521.0;75.0;38.7
Gabon;Africa;11180.0;276.0;12742.0;22.0;35.0;37.0;46.58;68.38;3.0;53.57;4.8;999.46;47.1;0.12;3.8;4.9;18.2;17.1;0.29;60.0;87.61;91.0;56.74;1.08;4.89;1333.39;88.0;10.21
Gambia;Africa;1110.0;14.75;726.0;20.0;41.0;72.0;73.97;86.37;1.6;18.03;3.8;170.3;16.3;0.0;2.5;1.3;6.4;4.7;0.115;83.5;107.44;117.8;51.8;0.18;32.65;498.59;82.0;19.32
Georgia;Europe;3880.0;123.0;3505.0;36.0;18.0;96.0;90.41;49.69;3.8;39.0;6.1;1671.88;26.3;0.05;7.6;10.7;51.8;8.1;4.09;29.0;32.11;32.1;70.86;1.02;16.69;717.57;82.0;39.38
Germany;Europe;32680.0;3628.0;30496.0;42.0;14.0;100.0;123.29;49.58;48.5;162.36;43.2;7110.59;95.8;12.97;33.1;45.5;79.8;60.5;3.4;4.0;9.93;4.9;79.46;9.51;0.98;4180.29;100.0;100.0
Ghana;Africa;1240.0;30.0;1225.0;20.0;39.0;27.0;19.18;74.34;0.5;14.18;1.8;265.76;13.0;0.01;3.5;5.1;28.1;19.3;0.15;75.0;60.95;113.6;59.63;0.33;37.45;396.58;75.0;17.92
Greece;Europe;30870.0;2580.0;25520.0;40.0;14.0;98.5;95.89;48.28;9.0;149.23;18.0;5241.53;92.3;1.44;15.6;19.4;51.6;26.2;4.4;4.0;9.1;4.9;79.18;8.94;4.02;2789.72;100.0;91.8
Grenada;AmericaS;8770.0;342.0;9128.0;23.0;33.0;72.0;153.43;69.43;11.63;69.75;11.16;1076.06;45.5;3.03;12.0;11.7;30.9;40.6;0.5;17.0;45.9;22.0;68.48;2.62;5.25;801.6800000000002;71.25;60.96
Guatemala;AmericaS;5120.0;131.75;4897.0;18.0;43.0;90.0;109.59;90.27;1.8;45.31;7.9;522.05;35.8;0.21;7.4;7.9;25.9;30.6;0.9;32.0;110.48;45.0;69.94;0.95;22.76;628.42;95.0;34.5
Guinea;Africa;1130.0;21.0;946.0;18.0;43.0;31.0;27.4;86.72;0.6;2.39;0.6;170.3;2.4;0.005333;3.3;3.1;15.3;9.6;0.11;100.0;157.04;164.4;55.42;0.14;19.76;498.59;50.0;9.79
Guinea-Bissau;Africa;460.0;10.0;569.0;16.0;48.0;57.0;16.44;101.88;0.7;6.59;2.3;170.3;7.1;0.005333;3.5;5.1;28.1;19.3;0.12;121.0;192.03;206.4;46.17;0.19;60.26;498.59;59.0;27.94
Guyana;AmericaS;3410.0;60.0;3232.0;27.0;31.0;86.0;98.63;58.29;3.5;52.94;21.3;1076.06;37.5;0.27;8.9;16.5;29.5;51.0;0.48;47.0;65.82;64.4;66.01;1.95;31.03;801.6800000000002;83.0;7.4
Haiti;AmericaS;1070.0;27.61;1175.0;21.0;38.0;57.0;65.75;72.7;7.9;6.94;7.0;36.9;5.9;1.0750000000000002;7.5;11.3;4.4;38.1;0.25;63.0;48.84;88.7;60.22;0.22;27.92;269.14;54.0;24.3
Honduras;AmericaS;3420.0;91.0;3266.0;20.0;39.0;87.0;109.59;79.01;1.6;25.98;3.6;625.69;17.8;1.0750000000000002;7.4;7.9;25.9;30.6;0.57;24.0;96.86;29.5;69.79;1.04;13.93;566.28;87.0;20.4
Hong Kong, China;SouthAsia-Oceania;5470.0;100.97;35680.0;25.0;32.0;76.5;68.49;37.18;45.38;183.34;50.1;5878.44;123.5;24.35;27.96;38.86;38.82;10.46;1.32;18.0;5.35;27.23;82.03;5.59;0.06;2653.23;77.0;100.0
Hungary;Europe;16970.0;855.0;17014.0;39.0;15.0;100.0;123.29;44.88;14.6;125.67;29.7;3771.37;92.3;6.46;33.7;56.6;63.0;34.0;3.2;6.0;19.99;8.0;72.97;5.63;4.33;2752.24;99.0;43.9
Iceland;Europe;33740.0;5154.0;35630.0;35.0;22.0;100.0;153.43;51.12;47.1;167.77;62.2;27986.52;103.4;26.29;27.0;34.0;90.0;81.0;3.62;2.0;15.74;2.9;81.43;7.36;5.83;12219.04;100.0;35.39
India;EastAsia;2460.0;36.0;2126.0;24.0;33.0;59.0;65.75;61.18;1.2;12.82;5.4;480.49;8.2;0.12;3.2;4.7;19.1;4.6;0.6;59.0;64.65;80.21;64.24;1.3;18.3;490.88;86.0;47.4
Indonesia;SouthAsia-Oceania;3310.0;26.0;3234.0;27.0;28.0;73.0;43.84;51.27;1.4;27.06;7.2;509.32;21.1;0.05;10.6;11.9;26.1;7.0;0.13;28.0;42.79;38.4;70.13;1.92;13.07;813.9;77.0;55.3
Iran (Islamic Republic of);WestAsia;9800.0;212.0;10692.0;24.0;28.0;86.0;71.23;58.385;10.5;37.94;10.9;2116.55;10.4;0.03;6.5;8.3;17.1;5.4;1.3050000000000002;20.5;21.97;37.6;73.405;6.64;10.4;2352.16;94.0;67.36
Iraq;WestAsia;9800.0;59.0;3200.0;19.0;41.0;95.0;93.15;79.48;0.8;5.86;0.1;1195.48;2.2;0.31;4.6;5.3;31.7;5.8;0.66;37.0;46.18;45.7;58.92;3.24;8.57;1073.63;81.0;84.3
Ireland;Europe;34730.0;3993.0;38058.0;34.0;21.0;98.5;115.07;46.73;49.7;152.0;33.8;6233.56;102.9;7.75;27.0;43.1;74.9;56.3;2.79;4.0;17.37;5.7;78.61;10.55;2.08;3676.04;100.0;100.0
Israel;WestAsia;23840.0;1533.0;23846.0;29.0;28.0;100.0;104.11;61.34;73.4;154.45;24.4;6759.06;112.4;17.76;34.9;41.9;90.8;46.8;3.82;4.0;14.74;5.9;80.48;10.13;8.57;2815.73;100.0;100.0
Italy;Europe;28970.0;2692.0;27750.0;42.0;14.0;98.5;84.93;50.89;31.3;164.74;48.2;5668.74;123.1;11.64;26.6;39.3;74.4;40.5;4.2;4.0;6.57;4.4;80.86;7.78;2.19;3159.77;100.0;100.0
Jamaica;AmericaS;7050.0;170.0;7132.0;25.0;31.0;91.0;147.95;64.36;6.2;117.66;46.5;2474.29;105.8;1.7;12.0;14.3;43.5;42.4;0.85;26.0;82.3;31.5;72.44;3.71;5.69;1444.72;93.0;73.95
Japan;SouthAsia-Oceania;32840.0;2936.0;30290.0;43.0;14.0;100.0;76.71;50.67;54.1;120.95;66.6;8232.58;75.3;17.51;26.5;49.3;32.7;12.6;2.0;3.0;3.45;3.8;82.27;9.65;1.5;4151.61;100.0;77.7
Jordan;WestAsia;4820.0;241.0;4294.0;21.0;37.0;94.0;98.63;67.75;5.3;69.59;12.6;1675.51;55.0;0.45;9.6;10.2;33.0;11.2;2.03;22.0;25.59;26.8;72.22;3.56;3.09;1310.73;97.0;100.0
Kazakhstan;Europe;8700.0;148.0;8699.0;29.0;24.0;87.0;71.23;47.55;23.65;53.52;4.1;3206.37;36.4;0.02;7.9;9.2;38.7;9.8;3.54;27.0;29.77;36.6;66.47;11.91;6.79;3461.86;86.0;83.0
Kenya;Africa;1470.0;24.0;1359.0;18.0;43.0;46.0;54.8;82.9;1.4;13.75;3.2;138.43;13.5;0.005333;3.9;7.4;25.2;16.6;0.14;79.0;103.81;119.4;53.33;0.33;26.78;484.45;61.0;14.12
Kiribati;SouthAsia-Oceania;6230.0;118.0;3377.0;25.0;32.0;44.25;126.03;50.655;0.9;2.62;2.2;4570.025;0.61;0.85;10.7;14.9;27.950000000000006;7.3;0.3;48.0;26.92;66.0;73.8;0.25;7.19;2521.0;48.75;38.7
Korea, Dem. Rep.;SouthAsia-Oceania;5470.0;0.23;1596.68;32.0;24.0;43.5;8.22;48.55;6.15;1.97;11.3;816.92;41.3;0.85;15.8;24.7;20.4;3.8;1.97;42.0;1.46;55.0;67.14;3.61;9.265;898.26;75.0;6.4
Korea, Rep.;SouthAsia-Oceania;22990.0;973.0;21342.0;36.0;18.0;76.5;98.63;39.05;54.5;135.33;68.3;7778.62;79.4;25.24;15.8;24.7;20.4;7.6;1.6;5.0;3.68;5.08;78.23;9.3;3.41;4426.44;92.0;76.82
Kuwait;WestAsia;48310.0;687.0;44947.0;29.0;24.0;95.5;101.37;34.27;17.6;113.99;26.1;15345.23;88.6;0.99;9.6;7.0;31.8;9.6;1.53;10.0;13.59;11.8;77.42;40.07;0.46;11099.82;93.0;85.0
Kyrgyzstan;Europe;1790.0;29.0;1728.0;24.0;30.0;75.0;38.36;48.28;1.7;19.09;5.3;1842.13;10.3;0.05;5.8;5.0;23.0;7.7;3.1;6.0;31.36;44.1;75.88;1.08;31.95;543.99;77.0;91.1
Lao People's Democratic Republic;SouthAsia-Oceania;1740.0;18.0;1811.0;20.0;39.0;67.0;10.96;50.655;0.4;12.6;0.4;4570.025;10.8;0.0;4.8;7.4;10.9;2.4;0.7;18.0;78.65;83.4;73.8;0.23;44.31;2521.0;51.0;14.41
Latvia;Europe;14840.0;443.0;13218.0;40.0;14.0;82.0;93.15;44.94;21.9;113.14;44.6;2702.46;81.1;2.64;17.9;24.2;44.3;19.8;3.01;8.0;15.33;11.0;71.25;2.82;3.97;2049.99;99.0;100.0
Lebanon;Africa;9600.0;460.0;10212.0;27.0;28.0;100.0;93.15;55.95;11.3;40.6;19.6;2241.98;27.8;3.24;4.0;4.6;52.5;9.8;3.25;27.0;25.72;30.3;71.75;4.41;6.44;1390.52;100.0;84.9
Lesotho;Africa;1810.0;69.0;1415.0;19.0;40.0;61.0;41.1;82.29;0.7;15.03;2.9;170.3;13.9;0.0;2.5;4.5;13.1;26.7;0.05;102.0;79.91;97.9;43.09;0.215;17.03;498.59;79.0;18.3
