Country;Continent;GNIPPP;Health_expenditure_per_person;Income_per_person;Population median age (years);Population proportion under 15 (%);Improved_sanitation_facilities_urban;Sugar_per_person;Children_and_elderly;Personal_computers_per_100_people;Fixed_line_and_mobile_phone_subscribers;Internet_users;Electric_power_consumption;Cell_phones_per_100_people;Broadband_subscribers_per_100_people;Colon_and_Rectum_cancer_new_cases_per_100_000_women;Colon_and_Rectum_cancer_new_cases_per_100_000_men;Breast_cancer_new_cases_per_100_000_women;Prostate_cancer_new_cases_per_100_000_men;Medical_Doctors;Infant_mortality_rate;Adolescent_fertility_rate;Under_five_mortality_rate;Life_expectancy_at_birth;CO2_emissions;Agriculture_contribution_to_economy;Energy_use;Improved_water_source;Roads_paved
Liberia;Africa;260.0;10.0;383.0;16.0;47.0;49.0;10.96;96.42;0.7;0.28;0.0;170.3;4.9;0.005333;3.8;4.8;18.8;15.7;0.03;157.0;221.95;143.9;45.2;0.16;65.97;498.59;61.0;6.2
Libyan Arab Jamahiriya;WestAsia;11630.0;223.0;10804.0;25.0;30.0;97.0;90.41;51.82;2.3;19.36;4.0;3299.47;5.0;0.31;3.7;4.9;23.4;5.6;1.29;18.0;3.45;19.6;73.65;9.73;8.57;3218.37;71.0;57.2
Lithuania;Europe;14550.0;448.0;14085.0;38.0;16.0;98.5;106.85;47.22;15.5;150.97;25.8;3104.0;127.1;6.86;16.8;26.5;38.5;32.3;3.97;7.0;19.66;9.0;71.56;3.89;5.66;2515.01;100.0;78.16
Luxembourg;Europe;60870.0;6330.0;70014.0;38.0;18.0;98.5;95.89;48.58;62.1;211.17;67.7;15970.76;154.8;15.35;30.8;43.6;82.5;57.2;2.7;4.0;10.54;4.3;79.57;24.15;0.42;10457.41;100.0;100.0
Macao, China;SouthAsia-Oceania;5470.0;100.97;37256.0;25.0;32.0;76.5;68.49;30.94;21.75;149.47;37.0;4570.025;115.8;14.38;10.7;14.9;27.950000000000006;7.3;0.7;18.0;4.79;27.23;80.53;4.98;0.0;2521.0;77.0;100.0
Macedonia;Europe;7850.0;224.0;7393.0;35.0;19.0;98.5;95.89;44.55;6.8;88.24;7.9;3417.0;62.0;0.61;19.0;27.6;52.1;27.5;2.19;15.0;22.84;16.4;75.88;5.02;12.78;1346.34;100.0;63.8
Madagascar;Africa;870.0;9.0;988.0;18.0;44.0;48.0;21.92;88.51;0.5;3.1;0.5;170.3;2.7;0.005333;4.1;6.7;19.5;13.8;0.29;74.0;139.45;122.6;58.9;0.16;28.16;498.59;46.0;11.6
Malawi;Africa;690.0;19.0;691.0;16.0;47.0;62.0;24.66;100.3;0.2;4.02;0.4;170.3;3.3;0.0;2.4;2.6;10.5;10.2;0.02;79.0;144.7;135.7;47.48;0.08;32.92;498.59;73.0;45.02
Malaysia;SouthAsia-Oceania;12160.0;222.0;11466.0;25.0;31.0;95.0;112.33;55.63;19.2;93.21;42.4;3261.61;75.2;1.98;15.7;19.3;30.8;8.7;0.7;10.0;13.55;12.4;73.94;10.01;8.35;2388.77;99.0;81.32
Maldives;EastAsia;4740.0;316.0;4017.0;22.0;33.0;100.0;76.71;60.86;11.0;79.37;5.8;416.995;87.9;1.1;3.4;4.85;21.65;4.4;0.92;28.0;24.44;39.0;67.74;2.05;20.805;483.33;83.0;59.44
Mali;Africa;1000.0;28.0;1027.0;16.0;48.0;59.0;30.14;105.49;0.4;8.14;0.5;170.3;7.7;0.005333;4.7;5.1;18.2;7.2;0.08;120.0;186.94;204.74;53.8;0.05;36.58;498.59;50.0;18.0
Malta;WestAsia;20990.0;1235.0;20410.0;38.0;17.0;100.0;131.51;44.17;31.5;130.38;31.7;4916.98;80.8;11.07;22.5;27.1;76.1;38.2;3.18;5.0;13.93;6.1;79.23;6.4;3.17;2351.92;100.0;87.53
Marshall Islands;SouthAsia-Oceania;8040.0;100.97;5135.0;25.0;32.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Mauritania;Africa;1970.0;17.0;1691.0;20.0;40.0;49.0;109.59;78.34;1.4;26.55;0.7;170.3;24.3;0.01;3.5;5.1;28.1;19.3;0.11;78.0;90.88;120.0;63.68;0.53;23.67;498.59;53.0;11.3
Mauritius;Africa;10640.0;218.0;10155.0;31.0;24.0;95.0;117.81;44.94;16.2;81.59;24.1;170.3;52.8;0.25;7.8;12.1;31.6;15.4;1.06;13.0;40.01;15.2;72.59;2.77;6.09;498.59;100.0;100.0
Mexico;AmericaN;11990.0;474.0;11317.0;26.0;30.0;91.0;131.51;57.7;10.7;64.66;16.9;1898.61;44.0;1.86;7.0;7.9;26.4;29.9;1.5;30.0;66.88;36.19;75.87;3.97;3.83;1712.44;97.0;36.98
Micronesia (Federated States of);SouthAsia-Oceania;6070.0;100.97;5135.0;20.0;38.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Moldova;Europe;2660.0;58.0;2362.0;33.0;19.0;86.0;82.19;45.07;2.6;52.09;13.1;1427.78;25.9;0.27;18.6;26.5;49.6;10.6;2.64;17.0;33.91;20.6;68.63;1.81;19.48;917.28;92.0;86.25
Monaco;Europe;15905.0;638.72;16267.5;38.0;18.0;98.5;95.89;48.28;23.65;127.21;31.05;4791.165000000001;85.1;5.33;21.450000000000006;31.8;53.8;30.7;3.1;6.0;16.025;7.75;75.88;6.855;4.4849999999999985;3252.7200000000007;100.0;86.125
Mongolia;SouthAsia-Oceania;2810.0;35.0;2643.0;25.0;28.0;75.0;32.88;48.84;11.9;27.93;10.1;4570.025;21.1;0.07;3.4;4.4;6.6;3.7;2.63;36.0;46.78;50.9;66.36;3.15;24.65;2521.0;62.0;3.5
Montenegro;Europe;8930.0;638.72;16267.5;35.0;19.0;98.5;95.89;48.28;23.65;127.21;31.05;4791.165000000001;85.1;5.33;21.450000000000006;31.8;53.8;30.7;3.1;6.0;16.025;7.75;75.88;6.855;4.4849999999999985;3252.7200000000007;100.0;86.125
Morocco;WestAsia;3860.0;89.0;3547.0;25.0;30.0;88.0;98.63;55.06;2.1;45.56;15.2;643.54;40.9;0.83;5.5;5.8;22.5;6.4;0.51;36.0;19.45;42.8;70.78;1.47;13.34;458.25;81.0;61.89
Mozambique;Africa;660.0;14.0;743.0;18.0;44.0;53.0;19.18;90.19;0.6;7.66;0.9;450.16;7.6;0.005333;1.3;1.2;3.9;2.6;0.03;100.0;160.07;177.1;42.57;0.1;26.93;497.11;43.0;18.7
Myanmar;SouthAsia-Oceania;510.0;4.0;831.0;27.0;27.0;88.0;35.62;48.92;0.6;1.32;0.1;81.64;0.3;0.0005070000000000001;3.4;5.2;20.2;2.0;0.36;75.0;17.42;106.0;61.53;0.24;57.23;306.98;78.0;11.44
Namibia;Africa;4770.0;165.0;4547.0;20.0;38.0;50.0;84.93;74.09;10.9;31.39;4.0;1427.95;24.4;0.005333;3.2;4.3;24.7;21.6;0.3;46.0;63.55;86.2;52.55;1.26;12.08;682.78;87.0;12.8
Nauru;SouthAsia-Oceania;5470.0;100.97;2500.0;25.0;32.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Nepal;EastAsia;1010.0;16.0;1081.0;20.0;38.0;62.0;10.96;74.27;0.5;2.63;0.8;69.54;0.8;0.125;3.4;4.7;21.8;4.4;0.21;49.0;117.61;66.3;63.17;0.11;35.67;338.46;90.0;56.88
Netherlands;Europe;37940.0;3560.0;34724.0;39.0;18.0;100.0;142.47;48.28;68.5;143.59;74.0;6987.75;97.2;25.12;30.8;40.9;86.7;56.7;3.1;4.0;4.95;5.7;79.65;7.66;2.18;5015.3;100.0;90.0
Netherlands Antilles;AmericaS;7065.0;209.0;22700.41;25.0;31.0;88.0;120.55;47.64;7.9;59.92;0.9;5171.9;78.84;1.0750000000000002;12.0;11.7;30.9;40.6;1.4;21.0;32.27;26.4;75.08;17.69;8.405000000000001;8889.87;90.5;26.25
New Caledonia;SouthAsia-Oceania;5470.0;100.97;31942.83;25.0;32.0;76.5;63.01;50.93;6.15;80.85;32.1;4570.025;56.6;4.09;10.7;14.9;27.950000000000006;7.3;1.98;18.0;26.92;27.23;75.81;12.19;3.67;2521.0;77.0;38.7
New Zealand;SouthAsia-Oceania;25750.0;2403.0;24554.0;36.0;21.0;76.5;164.38;50.64;49.3;127.22;68.3;9656.02;87.6;8.01;42.2;53.0;91.9;100.9;2.2;5.0;24.32;6.7;79.94;7.42;7.3;4090.33;97.0;64.89
Nicaragua;AmericaS;2720.0;75.0;2611.0;21.0;37.0;56.0;98.63;71.96;3.5;24.54;2.4;414.09;19.2;0.19;10.6;5.2;23.9;34.0;0.37;30.0;115.36;38.2;72.38;0.72;19.07;610.52;79.0;11.36
Niger;Africa;630.0;9.0;613.0;16.0;48.0;43.0;16.44;104.51;0.1;2.62;0.2;170.3;2.3;0.0;3.6;4.7;23.3;10.8;0.03;150.0;205.98;197.5;56.27;0.09;39.86;498.59;46.0;20.61
Nigeria;Africa;1410.0;27.0;1892.0;18.0;44.0;53.0;30.14;89.62;0.7;14.01;3.8;126.6;14.1;0.000354;3.9;5.8;31.2;23.3;0.28;100.0;136.66;196.6;46.8;0.89;23.35;734.21;48.0;15.0
Niue;SouthAsia-Oceania;5470.0;100.97;5135.0;25.0;34.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Norway;Europe;50070.0;5910.0;47551.0;38.0;19.0;98.5;120.55;52.11;57.8;148.89;58.5;25137.46;102.9;21.44;37.1;43.4;74.8;81.8;3.1;3.0;8.86;4.2;80.29;11.52;1.6;6948.5;100.0;77.5
Oman;WestAsia;19740.0;312.0;20334.0;23.0;33.0;97.0;93.15;57.26;4.9;63.76;11.1;3756.62;51.9;0.33;3.1;4.7;13.2;9.7;1.32;10.0;11.32;12.9;75.28;10.48;1.86;5569.91;82.0;27.66
Pakistan;EastAsia;2410.0;15.0;2396.0;21.0;36.0;92.0;73.97;69.64;0.4;11.55;6.8;456.22;8.3;0.03;5.1;5.0;50.1;5.6;0.74;79.0;30.16;96.88;65.01;0.83;21.47;490.0;91.0;64.7
Palau;SouthAsia-Oceania;14340.0;100.97;5135.0;25.0;32.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Panama;AmericaS;8690.0;351.0;8399.0;26.0;30.0;89.0;87.67;57.11;4.1;66.91;6.4;1499.61;52.5;0.54;11.2;12.1;29.0;46.0;1.5;19.0;85.16;23.9;75.33;1.87;8.05;803.96;90.0;34.6
Papua New Guinea;SouthAsia-Oceania;1630.0;34.0;1747.0;20.0;40.0;67.0;68.49;75.34;6.3;2.29;1.8;4570.025;1.3;0.85;2.9;7.8;17.3;2.4;0.05;55.0;58.56;69.4;57.08;0.8;41.82;2521.0;39.0;3.5
Paraguay;AmericaS;4040.0;92.0;3900.0;22.0;35.0;94.0;63.01;68.34;5.9;37.42;3.3;848.67;30.6;0.09;9.0;10.3;34.4;30.2;1.11;20.0;76.3;30.7;71.5;0.61;22.07;673.54;86.0;50.8
Peru;AmericaS;6490.0;125.0;6466.0;25.0;31.0;74.0;104.11;59.59;9.7;28.72;16.4;847.61;20.0;1.29;12.3;11.7;35.1;46.0;1.17;23.0;61.56;26.7;71.04;1.33;7.2;506.34;83.0;14.4
Philippines;SouthAsia-Oceania;3430.0;37.0;2932.0;22.0;36.0;80.0;76.71;66.61;4.5;45.11;5.5;588.07;41.3;0.15;14.8;18.8;46.6;18.6;1.16;25.0;48.69;31.5;71.34;0.85;14.35;528.49;85.0;9.9
Poland;Europe;14250.0;495.0;13573.0;37.0;16.0;98.5;123.29;42.0;19.1;107.43;25.9;3437.32;75.7;2.48;23.5;31.9;50.3;24.1;2.5;6.0;13.74;7.7;75.15;7.84;4.64;2435.95;100.0;69.66
Portugal;Europe;19960.0;1800.0;20006.0;39.0;16.0;98.5;93.15;48.28;13.3;148.64;27.2;4662.52;109.1;11.25;21.1;36.0;55.5;46.8;3.3;4.0;14.63;5.1;78.18;5.9;2.73;2575.11;100.0;86.0
Puerto Rico;AmericaS;7065.0;209.0;19725.45;25.0;31.0;88.0;109.59;52.38;7.9;112.26;23.1;1076.06;84.8;3.02;20.5;26.6;50.4;50.05;1.75;21.0;52.0;26.4;78.5;1.91;0.72;801.6800000000002;90.5;95.0
Qatar;WestAsia;9800.0;2186.0;68696.0;31.0;21.0;100.0;93.15;29.96;17.9;115.82;28.2;16801.35;92.2;3.16;17.5;12.8;33.3;9.5;2.22;18.0;18.34;16.44;75.26;57.72;8.57;19877.27;100.0;90.0
Romania;Europe;10150.0;250.0;9374.0;37.0;15.0;89.0;71.23;43.76;11.3;82.0;22.1;2341.92;61.8;3.47;14.4;22.0;44.3;16.8;1.9;16.0;33.74;18.6;72.19;3.99;10.14;1772.32;57.0;30.2
Russia;Europe;12740.0;277.0;11861.0;37.0;15.0;93.0;120.55;48.28;13.2;111.84;15.2;5784.97;83.6;1.11;19.5;27.1;38.8;12.8;3.1;6.0;28.64;18.3;75.88;10.48;5.54;4517.5;97.0;67.4
Rwanda;Africa;730.0;19.0;813.0;18.0;43.0;56.0;5.48;85.01;0.7;2.62;0.6;170.3;3.2;0.01;4.1;3.5;8.8;6.5;0.05;100.0;42.08;184.5;45.53;0.07;42.26;498.59;74.0;19.0
Saint Kitts and Nevis;AmericaS;12440.0;478.0;13677.0;25.0;28.0;72.0;156.16;59.55;16.5;55.87;12.15;1076.06;20.74;1.07;12.0;11.7;30.9;40.6;1.14;21.0;69.08;21.0;72.38;3.48;3.0;801.6800000000002;75.0;42.5
Saint Lucia;AmericaS;8500.0;323.0;9279.0;26.0;27.0;89.0;98.63;59.55;17.3;41.12;34.5;1076.06;65.7;1.0750000000000002;12.0;11.7;30.9;40.6;1.14;21.0;61.02;17.7;72.38;2.23;3.88;801.6800000000002;98.0;26.25
Saint Vincent and the Grenadines;AmericaS;6220.0;218.0;6752.0;25.0;29.0;88.0;120.55;59.55;13.2;78.17;8.4;1076.06;59.3;3.06;12.0;11.7;30.9;40.6;1.14;21.0;65.7;16.4;72.38;1.62;8.15;801.6800000000002;90.5;70.0
Samoa;SouthAsia-Oceania;5090.0;113.08;4872.0;20.0;40.0;75.0;68.49;82.95;0.35;23.66;3.4;4570.025;13.4;0.04;10.7;14.9;34.2;10.0;0.7;24.0;31.05;29.98;71.1;0.85;13.57;2521.0;66.0;14.21
San Marino;Europe;15905.0;638.72;16267.5;38.0;14.0;98.5;95.89;48.28;23.65;127.21;31.05;4791.165000000001;85.1;5.33;21.450000000000006;31.8;53.8;30.7;3.1;6.0;16.025;7.75;75.88;6.855;4.4849999999999985;3252.7200000000007;100.0;86.125
Sao Tome and Principe;Africa;1490.0;49.0;1460.0;19.0;41.0;32.0;52.06;85.05;0.7;12.49;14.7;170.3;7.6;0.005333;3.5;5.0;20.05;16.55;0.49;63.0;71.69;99.2;65.23;0.55;16.99;498.59;79.0;68.1
Saudi Arabia;WestAsia;22300.0;448.0;21220.0;24.0;34.0;100.0;73.97;59.51;34.0;77.89;12.2;6813.32;57.6;0.29;8.7;9.4;24.7;8.5;1.37;21.0;29.51;26.6;72.49;14.43;3.24;6067.61;95.7;29.9
Senegal;Africa;1560.0;38.0;1676.0;19.0;42.0;79.0;38.36;86.7;2.3;16.96;4.6;150.97;14.8;0.15;2.5;2.4;18.4;7.5;0.06;61.0;93.95;121.48;62.7;0.43;16.75;258.36;76.0;29.26
Serbia;Europe;9320.0;638.72;16267.5;37.0;18.0;98.5;95.89;48.28;23.65;127.21;31.05;4791.165000000001;85.1;5.33;21.450000000000006;31.8;53.8;30.7;3.1;6.0;16.025;7.75;75.88;6.855;4.4849999999999985;3252.7200000000007;100.0;86.125
Seychelles;Africa;14360.0;557.0;14202.0;18.0;24.0;53.0;87.67;86.37;13.88;96.76;26.0;170.3;72.9;1.14;3.5;5.0;20.05;16.55;1.13;12.0;107.44;13.54;51.8;7.13;3.0;498.59;66.0;96.0
Sierra Leone;Africa;610.0;8.0;790.0;18.0;43.0;53.0;10.96;85.49;0.7;1.85;0.2;170.3;2.2;0.005333;3.5;5.1;28.1;19.3;0.03;160.0;172.47;267.0;42.18;0.16;45.88;498.59;57.0;8.0
Singapore;SouthAsia-Oceania;43300.0;944.0;41479.0;38.0;19.0;100.0;68.49;38.96;62.2;143.47;39.8;8358.28;100.8;15.33;29.9;35.1;48.7;13.8;1.4;2.0;4.96;3.0;79.67;12.72;0.09;6932.61;100.0;100.0
Slovakia;Europe;17060.0;626.0;15881.0;36.0;16.0;100.0;84.93;39.88;29.6;106.5;35.3;4919.81;84.1;3.37;27.4;54.5;48.0;30.5;3.1;7.0;20.15;8.6;74.19;6.75;3.85;3495.64;100.0;87.31
Slovenia;Europe;23970.0;1495.0;23004.0;41.0;14.0;98.5;41.1;42.32;35.5;128.75;55.4;6917.77;89.4;9.83;25.4;43.8;58.9;30.9;2.25;3.0;6.47;4.5;77.6;7.38;2.57;3656.59;100.0;100.0
Solomon Islands;SouthAsia-Oceania;1850.0;28.0;1712.0;20.0;40.0;73.5;19.18;76.76;3.07;2.84;0.8;4570.025;1.3;0.1;6.9;10.5;29.8;4.2;0.13;56.0;45.21;77.7;63.25;0.33;9.265;2521.0;52.5;2.44
Somalia;Africa;1205.0;8.0;932.96;18.0;44.0;48.0;28.77;87.68;0.4;7.32;1.1;170.3;6.1;0.005333;4.1;6.7;19.5;13.8;0.04;91.0;68.19;150.8;47.6;0.07;65.45;498.59;29.0;11.8
South Africa;Africa;8900.0;437.0;8477.0;24.0;32.0;79.0;90.41;57.13;8.3;82.51;10.8;4847.18;71.6;0.35;9.7;12.3;35.0;42.9;0.77;55.0;65.0;68.5;50.35;9.22;2.75;2721.91;88.0;17.3
Spain;Europe;28200.0;2152.0;27270.0;39.0;14.0;100.0;93.15;45.45;25.4;139.86;40.4;6147.13;100.0;11.6;22.5;36.8;50.9;35.9;3.2;4.0;9.64;4.9;80.28;8.52;3.26;3345.67;100.0;99.0
Sri Lanka;EastAsia;3730.0;51.0;3481.0;30.0;24.0;98.0;84.93;44.22;2.7;23.42;1.7;377.77;16.2;0.13;3.4;5.0;23.6;3.2;0.55;12.0;26.53;21.4;72.0;0.55;17.29;476.66;79.0;81.0
Sudan;Africa;1780.0;29.0;2249.0;20.0;40.0;50.0;57.53;79.24;1.8;6.5;8.0;94.26;5.2;0.0;3.1;5.3;22.5;7.1;0.22;62.0;61.74;111.3;58.01;0.26;33.62;498.59;70.0;36.3
Suriname;AmericaS;7720.0;209.0;7234.0;26.0;29.0;99.0;150.69;56.42;4.3;69.36;7.1;1076.06;51.8;0.24;12.5;10.1;30.0;25.7;0.45;30.0;41.61;32.3;69.93;5.42;5.53;801.6800000000002;92.0;26.25
Swaziland;Africa;4700.0;146.0;4384.0;19.0;39.0;59.0;136.99;75.41;3.3;20.78;4.0;170.3;19.4;0.005333;2.4;4.0;12.3;20.5;0.16;110.0;35.09;110.3;40.68;0.84;11.17;498.59;62.0;29.99
Sweden;Europe;34310.0;3598.0;31995.0;40.0;17.0;100.0;128.77;52.99;76.1;161.37;76.2;15440.42;100.5;21.25;26.2;33.4;87.8;90.9;3.3;3.0;4.53;3.9;80.75;5.39;1.2;5781.67;100.0;31.48
Switzerland;Europe;40840.0;5694.0;35520.0;40.0;16.0;100.0;164.38;47.34;82.3;161.13;50.9;8305.25;91.6;22.29;25.2;42.7;81.7;77.3;3.6;4.0;4.54;5.3;81.44;5.5;1.29;3651.02;100.0;100.0
Syria;WestAsia;4110.0;61.36;4059.0;21.0;36.0;99.0;117.81;58.385;3.3;30.98;5.8;1411.2;15.5;0.01;17.5;18.0;44.8;20.1;1.3050000000000002;20.5;39.71;19.0;73.405;3.71;19.68;947.71;93.0;20.1
Taiwan;SouthAsia-Oceania;5470.0;100.97;26069.0;25.0;32.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;5.0;26.92;27.23;77.29;10.74;9.265;2521.0;77.0;38.7
Tajikistan;Europe;1560.0;18.0;1413.0;20.0;39.0;70.0;41.1;76.2;23.65;8.32;0.3;2266.8;4.1;0.000458;2.0;2.5;13.2;2.6;2.03;59.0;29.23;77.7;66.47;0.73;23.95;527.92;59.0;82.7
Tanzania;Africa;980.0;17.0;1018.0;18.0;44.0;53.0;19.18;89.99;0.7;9.21;1.0;61.2;8.8;0.005333;4.3;4.2;21.1;20.1;0.02;76.0;125.14;128.4;51.8;0.13;46.13;530.28;62.0;8.63
Thailand;SouthAsia-Oceania;7440.0;98.0;6869.0;33.0;21.0;98.0;87.67;41.79;6.0;60.59;11.3;1988.15;48.5;0.17;7.1;10.7;16.6;4.5;0.37;8.0;42.74;9.0;70.1;4.22;10.18;1587.82;99.0;98.5
Timor-Leste;SouthAsia-Oceania;5100.0;100.97;5135.0;17.0;45.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Togo;Africa;770.0;18.0;888.0;18.0;43.0;71.0;16.44;86.37;3.4;7.96;5.9;94.09;8.5;0.005333;3.5;5.1;28.1;19.3;0.04;71.0;95.04;109.0;58.21;0.25;43.63;319.78;52.0;31.6
Tonga;SouthAsia-Oceania;5470.0;103.94;5135.0;21.0;37.0;73.5;68.49;78.15;3.75;43.9;3.0;4570.025;29.8;0.65;10.7;14.9;27.950000000000006;7.3;0.15;20.0;17.77;24.48;73.05;1.04;24.94;2521.0;75.0;27.0
Trinidad and Tobago;AmericaS;16800.0;513.1;15352.0;29.0;22.0;100.0;156.16;40.16;7.9;84.87;12.5;5038.07;61.3;0.82;16.0;14.8;51.1;60.5;0.79;32.0;34.9;35.1;69.61;30.38;0.68;9598.69;91.0;51.1
Tunisia;WestAsia;6490.0;158.0;6461.0;27.0;25.0;96.0;95.89;47.72;4.8;69.18;9.5;1193.94;56.3;0.18;6.9;6.3;19.6;8.1;1.34;20.0;7.28;25.4;73.7;2.18;11.65;842.66;93.0;65.8
Turkey;Europe;8410.0;383.0;7786.0;27.0;28.0;96.0;65.75;51.23;5.1;86.85;15.3;1897.59;59.6;2.21;8.5;9.1;22.0;8.0;1.3;26.0;40.87;32.6;71.54;3.56;10.74;1182.34;96.0;34.0
Turkmenistan;Europe;3990.0;156.0;4247.0;24.0;31.0;77.0;27.4;57.35;23.65;10.41;1.0;1731.33;2.2;5.33;2.3;2.2;17.9;2.5;4.18;47.0;16.31;58.1;62.97;8.41;19.59;3380.74;72.0;81.2
Tuvalu;SouthAsia-Oceania;5470.0;100.97;5135.0;25.0;34.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Uganda;Africa;880.0;22.0;991.0;15.0;49.0;54.0;24.66;107.67;0.5;4.85;1.7;170.3;4.6;0.0;6.7;7.7;18.3;38.0;0.08;79.0;160.04;138.2;50.61;0.08;33.32;498.59;60.0;23.0
Ukraine;Europe;6110.0;128.0;5583.0;39.0;14.0;98.0;120.55;44.39;2.8;88.45;9.8;3246.04;64.5;5.33;17.3;27.5;39.9;14.5;2.95;20.0;28.73;23.8;67.31;6.96;10.4;3040.79;96.0;97.42
United Arab Emirates;WestAsia;31190.0;833.0;33487.0;30.0;20.0;98.0;104.11;26.5;12.0;140.61;29.4;13708.09;100.8;3.15;11.6;12.2;24.1;10.4;2.02;8.0;20.37;8.8;78.46;48.27;2.25;11435.84;100.0;100.0
United Kingdom;Europe;33650.0;3064.0;31580.0;39.0;18.0;98.5;112.33;51.62;60.0;165.28;53.8;6253.49;109.7;16.43;26.5;39.2;87.2;52.2;2.2;5.0;25.12;6.1;79.19;9.04;0.95;3884.19;100.0;100.0
United States of America;AmericaN;44070.0;6657.0;41674.0;36.0;21.0;100.0;191.78;49.42;76.2;130.98;66.3;13647.58;71.5;16.2;33.1;44.6;101.1;124.8;2.3;7.0;42.93;8.0;77.89;19.53;1.19;7892.85;100.0;65.34
Uruguay;AmericaS;9940.0;404.0;9266.0;33.0;24.0;100.0;104.11;59.55;13.3;65.37;20.6;2007.13;35.5;1.85;29.5;39.6;83.1;46.6;3.65;12.0;62.42;15.18;76.11;1.63;9.2;875.15;100.0;9.96
Uzbekistan;Europe;2190.0;26.0;1975.0;23.0;32.0;78.0;10.96;61.08;23.65;9.61;3.3;1659.39;2.7;0.03;3.3;3.7;17.3;2.4;2.74;40.0;35.17;48.9;67.0;4.18;27.97;1797.66;82.0;87.3
Vanuatu;SouthAsia-Oceania;3480.0;67.0;3477.0;20.0;39.0;78.0;38.36;75.7;1.4;9.13;3.5;4570.025;5.8;0.03;1.5;3.6;24.0;2.3;0.11;31.0;47.42;39.94;69.63;0.43;14.1;2521.0;60.0;23.9
Venezuela;AmericaS;10970.0;247.0;9876.0;25.0;31.0;71.0;98.63;59.55;8.2;60.75;12.5;2848.37;46.7;1.34;11.6;11.2;34.3;42.4;1.14;21.0;90.78;21.1;72.38;5.84;4.04;2292.77;83.0;33.6
Vietnam;SouthAsia-Oceania;2310.0;37.0;2142.0;25.0;29.0;92.0;35.62;54.31;1.3;30.61;12.7;572.69;11.4;0.25;8.3;11.8;16.2;2.8;0.53;16.0;18.94;20.2;73.94;1.22;20.97;617.24;85.0;25.1
West Bank and Gaza;WestAsia;9800.0;217.5;3542.0;24.0;31.5;78.0;90.41;95.73;4.6;39.81;6.6;3299.47;29.6;0.21;6.7;7.65;27.450000000000006;9.0;0.84;21.0;84.9;28.0;73.16;0.17;8.57;2352.16;92.0;100.0
Yemen;WestAsia;2090.0;39.0;2276.0;17.0;45.0;86.0;65.75;93.11;1.4;14.07;1.1;173.78;9.5;0.31;5.9;9.1;35.1;1.6;0.33;76.0;74.47;82.4;62.1;0.97;14.34;318.93;67.0;8.7
Zambia;Africa;1140.0;36.0;1175.0;17.0;46.0;59.0;46.58;94.69;1.0;9.1;2.9;721.19;8.1;0.0;2.9;6.6;13.0;16.5;0.12;102.0;134.34;175.3;41.59;0.21;22.77;620.65;58.0;22.0
Zimbabwe;Africa;1205.0;21.0;538.0;19.0;39.0;63.0;104.11;75.51;8.4;7.59;8.4;953.07;5.6;0.08;6.8;7.2;19.0;27.4;0.16;68.0;64.24;106.5;42.61;0.94;19.13;741.1;81.0;19.0
